CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Num,HomePlanet_Europa,HomePlanet_Mars,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,"Luxury_(716.0, 979.0]","Luxury_(979.0, 2365.0]","Luxury_(2365.0, 35987.0]"
0,3.6888794541139363,0,0.0,0.0,0.0,0.0,0.0,0,0.0,True,False,False,True,True,False,False,False,False,False,False,False,False,False
0,3.2188758248682006,0,4.700480365792417,2.302585092994046,3.258096538021482,6.309918278226516,3.8066624897703196,1,0.0,False,False,False,True,False,False,False,False,True,False,False,True,False,False
0,4.07753744390572,1,3.784189633918261,7.88998355290757,0.0,7.362772165919547,3.912023005428146,0,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,True
0,3.5263605246161616,0,0.0,7.157735484249907,5.918893854273146,7.362772165919547,5.267858159063328,0,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,True
0,2.833213344056216,0,5.717027701406222,4.2626798770413155,5.0238805208462765,6.338594078203183,1.0986122886681098,1,0.6931471805599453,False,False,False,True,False,False,False,False,True,False,False,False,True,False
0,3.8066624897703196,0,0.0,6.182084906716632,0.0,5.676753802268282,0.0,1,0.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,3.295836866004329,0,3.7612001156935624,7.3395376954076745,1.3862943611198906,0.0,0.0,1,1.0986122886681098,False,False,False,True,False,False,False,False,True,False,False,False,True,False
1,3.367295829986474,0,0.0,0.0,0.0,0.0,0.0,1,0.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,3.58351893845611,0,0.0,6.666956792429207,2.8903717578961645,5.37989735354046,0.0,1,1.3862943611198906,False,False,False,True,False,False,False,False,True,False,False,False,True,False
1,2.70805020110221,0,0.0,0.0,0.0,0.0,0.0,1,0.6931471805599453,True,False,False,False,True,False,False,False,False,False,False,False,False,False
1,3.5553480614894135,0,0.0,0.0,0.0,0.0,0.0,1,0.6931471805599453,True,False,False,True,True,False,False,False,False,False,False,False,False,False
0,3.828641396489095,0,3.6888794541139363,7.88998355290757,6.380122536899765,4.709530201312334,4.8283137373023015,1,0.6931471805599453,True,False,False,False,True,False,False,False,False,False,False,False,False,True
